id,priority,area,title,evidence_ref,owner_decision_required,proposed_fix,wave,status
INF-01,P0,Infrastructure,Provider non-payment suspension notices (Hetzner services blocked 2026-08-25; Cloudflare paid services disabled 2026-08-20; Guzel Hosting overdue 2026-08-15..18),05 s4; 10 E4/E7,YES (confirm payments and auto-pay),Confirm all accounts current; enable auto-pay; single billing contact; provider register in private repo,W0,OPEN
INF-02,P0,Infrastructure,N8N_ENCRYPTION_KEY exists only in host .env with no off-host copy,05 s4; IaC bootstrap/06-n8n,YES (custody location),Store key in owner password manager; document restore procedure; include in backup drill,W0,OPEN
N8N-01,P0,Automation,n8n live on real bookings without recorded Owner GO and without workflows in version control while record says n8n HOLD,05 s5; 10 E4,YES (retroactive GO or deactivate),Export workflows to private git; log GO retroactively or deactivate until gate passes,W0/W3,OPEN
ALA-01,P0,Alanya legal/pricing,Contradictory cancellation regimes (12h / 24h+50% deposit / no refund / 100% no-show) and deposit clause vs cash-only policy,04 s4; evidence/agent_github_external.md 2A(d),YES (single policy text),Publish one cancellation policy page; remove deposit wording sitewide; align FAQ/Utopia/camping pages,W1,OPEN
ALA-02,P0,Alanya legal,TURSAB identity 2165 (live+owner) vs 12892 (record) and 'under Free Time Turizm document' framing without documentary proof,04 s4; evidence/agent_github_external.md 2A(b),YES (registry document),File TURSAB document in private repo; fix legal framing on privacy/contact/footer; remove 12892 from record or explain,W1,OPEN
ALA-03,P0,Provenance,No git-identified SHA-sealed candidate for the Alanya WordPress change set (RC2 golden artefact unverifiable; manifest placeholder has 0 sha256; runtime not in git),01 s8; evidence/agent_agos_repo.md s1.4,YES (private repo target),Capture baseline + runtime + n8n exports with SHA256SUMS on ALGRP/AGOS branch candidate/rc6-baseline,W0,OPEN
SUL-01,P0,Sultan provenance,No Sultan source/build/deploy artefact in any repository or reachable location,03 s3,YES (push source),Push Sultan app + compose + migrations to private repo with tag; provide docker compose config redacted,W0/W5,OPEN
SUL-02,P0,Sultan legal,Regulamin / polityka prywatnosci (RODO) / allergen list / company identity (NIP REGON address) not shown to exist,03 s3,YES (company data),Publish statutory pages in PL before any release GO,W1,OPEN
MC-01,P0,AGOS Mobility Cloud,Public booking captures no contact data; three fictitious verified-driver offers; customer click auto-sets driver_assigned; no manual/supplier gate; false 'WhatsApp confirmation' claims,evidence/agent_mobility_cloud.md P0-1..P0-3 P0-5,YES (pilot scope),Require phone (email optional); remove synthetic offers; add operator approval state; disable auto-confirm; add real notification provider before any customer traffic,W8,OPEN
MC-02,P0,AGOS Mobility Cloud,First user becomes master_admin; cross-tenant reads on reservation-marketplace and domain-reservations; admin console served unauthenticated,evidence/agent_mobility_cloud.md P0-7 P0-8 P1-6,NO,Allow-list master email; tenant filter on all list endpoints; auth gate on /; isolation tests,W8,OPEN
